### Custom 20-colors palette from Lemieux et al. (2019)
### https://pubmed.ncbi.nlm.nih.gov/31492891/
# Color name	RGB value
c01	202,75,75
c02	239,60,104
c03	241,102,140
c04	245,152,162
c05	245,126,47
c06	250,166,55
c07	255,197,61
c08	255,228,67
c09	210,213,76
c10	147,195,84
c11	18,178,89
c12	0,179,127
c13	0,180,161
c14	0,182,204
c15	0,183,241
c16	0,157,218
c17	64,131,196
c18	94,104,176
c19	108,82,162
c20	122,42,144
